Gene 1,Gene 2,Weight,Network group,cluster
MYLK2,CIT,0.002193029,Shared protein domains,3,
AHR,NPAS3,0.054716717,Shared protein domains,3,
SGCD,SGCZ,0.33333334,Shared protein domains,3,
LRP8,VLDLR,0.03135349,Shared protein domains,3,
SGCB,SGCZ,0.33333334,Shared protein domains,3,
SGCB,SGCD,0.33333334,Shared protein domains,3,
SLIT1,NRXN3,0.009472615,Shared protein domains,3,
SLIT1,RELN,0.012993882,Shared protein domains,3,
SOX2,PTPRZ1,0.006680858,Co-expression,4,Zapala-Barlow-2005
APOE,SLC1A2,0.018801002,Co-expression,4,Zapala-Barlow-2005
GPM6B,GNAO1,0.014629238,Co-expression,4,Zapala-Barlow-2005
GPM6B,PTPRZ1,0.007619841,Co-expression,4,Zapala-Barlow-2005
CKB,APOE,0.009141114,Co-expression,4,Zapala-Barlow-2005
CKB,MACF1,0.008236202,Co-expression,4,Zapala-Barlow-2005
CAR4,SLC4A4,0.023873046,Co-expression,4,Zapala-Barlow-2005
SLC1A6,RORA,0.013264854,Co-expression,4,Zapala-Barlow-2005
SLC1A6,ARHGAP5,0.015097061,Co-expression,4,Zapala-Barlow-2005
SLC1A6,CAR4,0.01360596,Co-expression,4,Zapala-Barlow-2005
SLC4A4,NFIA,0.011744586,Co-expression,4,Akerblad-Sigvardsson-2005
GPM6B,APOE,0.012985087,Co-expression,4,Akerblad-Sigvardsson-2005
VEGFA,SLC4A4,0.01696691,Co-expression,4,Akerblad-Sigvardsson-2005
CKB,APOE,0.015117784,Co-expression,4,Akerblad-Sigvardsson-2005
CAR4,GPM6B,0.011964238,Co-expression,4,Akerblad-Sigvardsson-2005
PLP1,ARHGAP5,0.009351756,Co-expression,4,Akerblad-Sigvardsson-2005
SLC1A6,SOX6,0.014176572,Co-expression,4,Akerblad-Sigvardsson-2005
LSAMP,CSPG5,0.004068635,Co-expression,4,Thorrez-Schuit-2008
NTM,CSPG5,0.003259413,Co-expression,4,Thorrez-Schuit-2008
NTM,LSAMP,0.006231519,Co-expression,4,Thorrez-Schuit-2008
SLC1A2,CSPG5,0.008183756,Co-expression,4,Thorrez-Schuit-2008
HNRNPA2B1,SON,0.02495036,Co-expression,4,Thorrez-Schuit-2008
GPM6B,CSPG5,0.007641688,Co-expression,4,Thorrez-Schuit-2008
GPM6B,NTM,0.011765476,Co-expression,4,Thorrez-Schuit-2008
CKB,CSPG5,0.004252293,Co-expression,4,Thorrez-Schuit-2008
CKB,NTM,0.006498071,Co-expression,4,Thorrez-Schuit-2008
GPM6A,CSPG5,0.003950363,Co-expression,4,Thorrez-Schuit-2008
PLP1,GPC5,0.005123086,Co-expression,4,Thorrez-Schuit-2008
PLP1,GPM6A,0.007478429,Co-expression,4,Thorrez-Schuit-2008
NRXN2,PTPRZ1,0.013490874,Co-expression,4,Thorrez-Schuit-2008
NRXN3,CSPG5,0.007681234,Co-expression,4,Thorrez-Schuit-2008
NRXN3,LSAMP,0.014859444,Co-expression,4,Thorrez-Schuit-2008
NRXN3,NTM,0.011758826,Co-expression,4,Thorrez-Schuit-2008
SYTL2,NTM,0.009108922,Co-expression,4,Thorrez-Schuit-2008
SYTL2,GPM6B,0.022837123,Co-expression,4,Thorrez-Schuit-2008
SYTL2,GPM6A,0.010382437,Co-expression,4,Thorrez-Schuit-2008
SOX2,SLC1A2,0.012551486,Co-expression,4,Anderson-Neville-2007
MACF1,SON,0.016222792,Co-expression,4,Anderson-Neville-2007
CKB,MACF1,0.01871121,Co-expression,4,Anderson-Neville-2007
SLC1A6,RORA,0.011691315,Co-expression,4,Anderson-Neville-2007
SLC1A6,MPP7,0.009623615,Co-expression,4,Anderson-Neville-2007
GNAO1,CSPG5,0.00907036,Co-expression,4,Rinn-Snyder-2004
SOX2,NPAS3,0.01301531,Co-expression,4,Rinn-Snyder-2004
SOX2,PTPRZ1,0.01308985,Co-expression,4,Rinn-Snyder-2004
ARHGAP5,SOX2,0.012064163,Co-expression,4,Rinn-Snyder-2004
GPM6A,TRPS1,0.004764326,Co-expression,4,Rinn-Snyder-2004
GPM6A,CKB,0.0034841,Co-expression,4,Rinn-Snyder-2004
TMCC2,CSPG5,0.00209041,Co-expression,4,Rinn-Snyder-2004
TMCC2,RORA,0.007966665,Co-expression,4,Rinn-Snyder-2004
TMCC2,GPM6B,0.001951995,Co-expression,4,Rinn-Snyder-2004
PLP1,CSPG5,0.004137532,Co-expression,4,Rinn-Snyder-2004
PLP1,PTPRZ1,0.014225042,Co-expression,4,Rinn-Snyder-2004
PLP1,SOX2,0.006285286,Co-expression,4,Rinn-Snyder-2004
PLP1,TMCC2,0.003477027,Co-expression,4,Rinn-Snyder-2004
CKMT1,CKB,0.003664846,Co-expression,4,Rinn-Snyder-2004
CKMT1,GPM6A,0.004048461,Co-expression,4,Rinn-Snyder-2004
SLC1A6,GPM6B,0.005103637,Co-expression,4,Rinn-Snyder-2004
SLC1A6,TMCC2,0.004563933,Co-expression,4,Rinn-Snyder-2004
SYTL2,TRPS1,0.005357356,Co-expression,4,Rinn-Snyder-2004
SYTL2,CKB,0.003738724,Co-expression,4,Rinn-Snyder-2004
SYTL2,NFIC,0.011468167,Co-expression,4,Rinn-Snyder-2004
GPC5,ACSL3,0.006649521,Co-expression,4,Lattin-Sweet-2008
LSAMP,GPC5,0.009273449,Co-expression,4,Lattin-Sweet-2008
SLC1A2,GPC5,0.009600422,Co-expression,4,Lattin-Sweet-2008
ARHGAP5,ACSL3,0.01566979,Co-expression,4,Lattin-Sweet-2008
CKB,NTM,0.007054051,Co-expression,4,Lattin-Sweet-2008
CKB,GPM6B,0.010311008,Co-expression,4,Lattin-Sweet-2008
GPM6A,NRXN1,0.006949926,Co-expression,4,Lattin-Sweet-2008
GPM6A,NTM,0.003358475,Co-expression,4,Lattin-Sweet-2008
GPM6A,GPM6B,0.004838161,Co-expression,4,Lattin-Sweet-2008
PLP1,NPAS3,0.013946292,Co-expression,4,Lattin-Sweet-2008
NRXN2,NTM,0.006925596,Co-expression,4,Lattin-Sweet-2008
NRXN2,CKB,0.008013374,Co-expression,4,Lattin-Sweet-2008
NRXN3,CSPG5,0.007347906,Co-expression,4,Lattin-Sweet-2008
NRXN3,CKB,0.012914594,Co-expression,4,Lattin-Sweet-2008
NRXN3,NRXN2,0.012714927,Co-expression,4,Lattin-Sweet-2008
SLC1A6,RORA,0.012565407,Co-expression,4,Lattin-Sweet-2008
SOX2,SOX6,0.011082506,Co-expression,4,Singh-Darlington-2011
HNRNPA2B1,ARHGAP5,0.004721923,Co-expression,4,Singh-Darlington-2011
GPM6B,SOX2,0.011210193,Co-expression,4,Singh-Darlington-2011
VEGFA,ARHGAP5,0.007778443,Co-expression,4,Singh-Darlington-2011
SLC4A7,SOX2,0.014680151,Co-expression,4,Singh-Darlington-2011
PTPRZ1,SLC4A4,0.012200049,Co-expression,4,Hovatta-Barlow-2005
HNRNPA2B1,SOX2,0.005712523,Co-expression,4,Hovatta-Barlow-2005
CKB,APOE,0.012565559,Co-expression,4,Hovatta-Barlow-2005
CKB,MACF1,0.005431715,Co-expression,4,Hovatta-Barlow-2005
CKMT1,MACF1,0.013578491,Co-expression,4,Hovatta-Barlow-2005
CKMT1,CKB,0.011906643,Co-expression,4,Hovatta-Barlow-2005
SLC1A6,SLC4A4,0.006377336,Co-expression,4,Hovatta-Barlow-2005
SLC1A6,SOX6,0.008561717,Co-expression,4,Hovatta-Barlow-2005
SLC1A6,PTPRZ1,0.009857177,Co-expression,4,Hovatta-Barlow-2005
SLC4A4,NFIA,0.011937208,Co-expression,4,Akahoshi-Ishii-2011
GPM6B,SOX2,0.009972768,Co-expression,4,Akahoshi-Ishii-2011
GPM6B,HNRNPA2B1,0.01035238,Co-expression,4,Akahoshi-Ishii-2011
NFIC,VEGFA,0.008054663,Co-expression,4,Akahoshi-Ishii-2011
CKMT1,MACF1,0.012924556,Co-expression,4,Akahoshi-Ishii-2011
LSAMP,CSPG5,0.005725661,Co-expression,4,Gallardo-Castrillon-2007
NTM,CSPG5,0.002814212,Co-expression,4,Gallardo-Castrillon-2007
SLC1A2,CSPG5,0.007445496,Co-expression,4,Gallardo-Castrillon-2007
SLC1A2,GPC5,0.018027205,Co-expression,4,Gallardo-Castrillon-2007
GNAO1,NTM,0.009070968,Co-expression,4,Gallardo-Castrillon-2007
GPM6A,CKB,0.00851286,Co-expression,4,Gallardo-Castrillon-2007
PLP1,GPC5,0.007909637,Co-expression,4,Gallardo-Castrillon-2007
NFIC,NFIA,0.021989562,Co-expression,4,Gallardo-Castrillon-2007
CKM,SOX6,0.009158645,Co-expression,4,Gallardo-Castrillon-2007
GPC2,GPC6,0.006243685,Co-expression,4,Gallardo-Castrillon-2007
NLGN1,GPC5,0.01617728,Co-expression,4,Gallardo-Castrillon-2007
NRXN3,CSPG5,0.008424817,Co-expression,4,Gallardo-Castrillon-2007
NRXN3,LSAMP,0.021038938,Co-expression,4,Gallardo-Castrillon-2007
NRXN3,NTM,0.010187504,Co-expression,4,Gallardo-Castrillon-2007
SLC1A6,PLP1,0.008516087,Co-expression,4,Gallardo-Castrillon-2007
SYTL2,ACSL3,0.02738455,Co-expression,4,Gallardo-Castrillon-2007
SYTL2,ATXN1,0.024515195,Co-expression,4,Gallardo-Castrillon-2007
SOX6,NPAS3,0.028560141,Co-expression,4,Harris-Stevenson-2013
TMCC2,GPM6B,0.021057943,Co-expression,4,Harris-Stevenson-2013
APOE,SLC4A4,0.01999728,Co-expression,4,Jacobs-Benoist-2010
HNRNPA2B1,QKI,0.005140015,Co-expression,4,Hernandez-Novoa-Kovacs-2008
MACF1,SON,0.011301321,Co-expression,4,Hernandez-Novoa-Kovacs-2008
VEGFA,ARHGAP5,0.004190755,Co-expression,4,Hernandez-Novoa-Kovacs-2008
SOX2,PTPRZ1,0.020258967,Co-expression,4,Peng-Stevenson-2013
CAR4,GNAO1,0.010963973,Co-expression,4,Peng-Stevenson-2013
CAR4,VEGFA,0.008844807,Co-expression,4,Peng-Stevenson-2013
TMCC2,VEGFA,0.007562405,Co-expression,4,Peng-Stevenson-2013
TMCC2,CAR4,0.002559362,Co-expression,4,Peng-Stevenson-2013
SYTL2,MACF1,0.005948341,Co-expression,4,Peng-Stevenson-2013
SYTL2,NRXN2,0.004779103,Co-expression,4,Peng-Stevenson-2013
SOX6,SLC4A4,0.016926832,Co-expression,4,Tarnavski-Izumo-2004
GPM6B,SOX2,0.01499382,Co-expression,4,Schreiner-Scott-2009
CKMT1,MPP7,0.017518263,Co-expression,4,Schreiner-Scott-2009
NTM,GPC5,0.007621239,Co-localization,4,Su-Hogenesch-2004
GNAO1,NRXN1,0.002501311,Co-localization,4,Su-Hogenesch-2004
PTPRZ1,NRXN1,0.006806188,Co-localization,4,Su-Hogenesch-2004
PTPRZ1,GNAO1,0.006929964,Co-localization,4,Su-Hogenesch-2004
SOX2,NRXN1,0.007489878,Co-localization,4,Su-Hogenesch-2004
SOX2,PTPRZ1,0.02322836,Co-localization,4,Su-Hogenesch-2004
HNRNPA2B1,SON,0.012101121,Co-localization,4,Su-Hogenesch-2004
GPM6B,NRXN1,0.003433537,Co-localization,4,Su-Hogenesch-2004
GPM6B,GNAO1,0.003474414,Co-localization,4,Su-Hogenesch-2004
CKB,NRXN1,0.008082371,Co-localization,4,Su-Hogenesch-2004
CKB,GNAO1,0.008202815,Co-localization,4,Su-Hogenesch-2004
GPM6A,NRXN1,0.004341446,Co-localization,4,Su-Hogenesch-2004
GPM6A,GPM6B,0.006476632,Co-localization,4,Su-Hogenesch-2004
TMCC2,NRXN1,0.007511497,Co-localization,4,Su-Hogenesch-2004
TMCC2,GPM6B,0.011468197,Co-localization,4,Su-Hogenesch-2004
TMCC2,GPM6A,0.015560061,Co-localization,4,Su-Hogenesch-2004
PLP1,NRXN1,0.005116337,Co-localization,4,Su-Hogenesch-2004
NRXN1,PTPRT,0.006366455,Co-localization,4,Zhang-Hughes-2004
LSAMP,NRXN1,0.001972307,Co-localization,4,Zhang-Hughes-2004
NTM,LSAMP,0.002058561,Co-localization,4,Zhang-Hughes-2004
PTPRZ1,NRXN1,0.003878977,Co-localization,4,Zhang-Hughes-2004
ARHGAP5,ACSL3,0.025025696,Co-localization,4,Zhang-Hughes-2004
GPM6B,LSAMP,0.003098168,Co-localization,4,Zhang-Hughes-2004
GPM6B,NTM,0.005324696,Co-localization,4,Zhang-Hughes-2004
CKB,LSAMP,0.004353075,Co-localization,4,Zhang-Hughes-2004
CKMT1,ARHGAP5,0.01694538,Co-localization,4,Zhang-Hughes-2004
NLGN1,PTPRT,0.004293195,Co-localization,4,Zhang-Hughes-2004
NLGN1,NRXN1,0.002163946,Co-localization,4,Zhang-Hughes-2004
NLGN1,LSAMP,0.001364853,Co-localization,4,Zhang-Hughes-2004
NLGN1,NTM,0.002349187,Co-localization,4,Zhang-Hughes-2004
NLGN1,CKB,0.004843073,Co-localization,4,Zhang-Hughes-2004
ATXN1,MSI2,0.029616112,Co-localization,4,Zhang-Hughes-2004
MARF1,MSI2,0.01910231,Co-localization,4,Zhang-Hughes-2004
NRXN1,CSPG5,0.002443234,Co-localization,4,Siddiqui-Marra-2005
LSAMP,CSPG5,0.003931068,Co-localization,4,Siddiqui-Marra-2005
SLC1A2,CSPG5,0.004047256,Co-localization,4,Siddiqui-Marra-2005
GNAO1,NRXN1,0.002810196,Co-localization,4,Siddiqui-Marra-2005
GPM6B,CSPG5,0.001333967,Co-localization,4,Siddiqui-Marra-2005
GPM6B,NRXN1,0.001985591,Co-localization,4,Siddiqui-Marra-2005
GPM6B,GNAO1,0.001513309,Co-localization,4,Siddiqui-Marra-2005
GPM6B,SOX6,0.005140473,Co-localization,4,Siddiqui-Marra-2005
MACF1,SON,0.001438933,Co-localization,4,Siddiqui-Marra-2005
CKB,SOX6,0.012605381,Co-localization,4,Siddiqui-Marra-2005
CKB,GPM6B,0.002625375,Co-localization,4,Siddiqui-Marra-2005
GPM6A,CSPG5,0.003427462,Co-localization,4,Siddiqui-Marra-2005
GPM6A,LSAMP,0.009452513,Co-localization,4,Siddiqui-Marra-2005
CAR4,APOE,0.010588065,Co-localization,4,Siddiqui-Marra-2005
TMCC2,NRXN1,0.006834692,Co-localization,4,Siddiqui-Marra-2005
PLP1,CSPG5,0.001710157,Co-localization,4,Siddiqui-Marra-2005
PLP1,SLC1A2,0.004545185,Co-localization,4,Siddiqui-Marra-2005
GPC6,LSAMP,0.015682487,Co-localization,4,Siddiqui-Marra-2005
GPC6,GPM6A,0.011808144,Co-localization,4,Siddiqui-Marra-2005
NLGN1,GPM6A,0.011456774,Co-localization,4,Siddiqui-Marra-2005
SLC1A2,MSI2,0.005526971,Other,4,Conservation profile-Phylogeny
GNAO1,SLC1A2,0.017496323,Other,4,Conservation profile-Phylogeny
SOX6,MSI2,0.005526971,Other,4,Conservation profile-Phylogeny
SOX6,SLC1A2,0.019787021,Other,4,Conservation profile-Phylogeny
SOX6,GNAO1,0.017496323,Other,4,Conservation profile-Phylogeny
ATXN1,SLC1A2,0.017496323,Other,4,Conservation profile-Phylogeny
ATXN1,GNAO1,0.026924182,Other,4,Conservation profile-Phylogeny
ATXN1,SOX6,0.017496323,Other,4,Conservation profile-Phylogeny
CKB,CSPG5,0.016255477,Other,4,Phenotype-MGI
NRXN1,PTPRT,0.18980056,Physical Interactions,4,IREF-INTACT
CAR4,SLC4A4,1.0,Physical Interactions,4,IREF-INTACT
TMCC2,APOE,0.9143518,Physical Interactions,4,IREF-INTACT
SLC6A4,GPM6B,1.0,Physical Interactions,4,IREF-INTACT
NRXN2,PTPRT,0.32106945,Physical Interactions,4,IREF-INTACT
NLGN1,PTPRT,0.5086351,Physical Interactions,4,IREF-INTACT
NRXN3,PTPRT,0.25876433,Physical Interactions,4,IREF-INTACT
ATXN1,RORA,0.4675528,Physical Interactions,4,IREF-INTACT
SYTL3,NRXN1,0.50245625,Physical Interactions,4,IREF-INTACT
SYTL2,NRXN1,0.41134298,Physical Interactions,4,IREF-INTACT
NRXN1,CSPG5,0.17228314,Predicted,4,Kim-Marcotte-2008
NTM,LSAMP,0.005465904,Predicted,4,Kim-Marcotte-2008
PTPRZ1,PTPRT,0.005020468,Predicted,4,Kim-Marcotte-2008
SOX2,SOX6,0.021146776,Predicted,4,Kim-Marcotte-2008
HNRNPA2B1,MSI2,0.005522606,Predicted,4,Kim-Marcotte-2008
GPM6A,GPM6B,0.65189445,Predicted,4,Kim-Marcotte-2008
CAR4,PTPRZ1,0.013075038,Predicted,4,Kim-Marcotte-2008
PLP1,GPM6B,0.32069024,Predicted,4,Kim-Marcotte-2008
PLP1,GPM6A,0.30190936,Predicted,4,Kim-Marcotte-2008
NRXN2,NRXN1,0.009893356,Predicted,4,Kim-Marcotte-2008
NFIC,NFIA,0.20132749,Predicted,4,Kim-Marcotte-2008
GPC6,GPC5,0.22015879,Predicted,4,Kim-Marcotte-2008
CKM,CKB,0.31318748,Predicted,4,Kim-Marcotte-2008
GPC2,GPC5,0.20751218,Predicted,4,Kim-Marcotte-2008
GPC2,GPC6,0.2111781,Predicted,4,Kim-Marcotte-2008
CKMT1,CKB,0.29280776,Predicted,4,Kim-Marcotte-2008
CKMT1,CKM,0.33266848,Predicted,4,Kim-Marcotte-2008
NRXN3,NRXN1,0.011751367,Predicted,4,Kim-Marcotte-2008
NRXN3,NRXN2,0.008429159,Predicted,4,Kim-Marcotte-2008
MARF1,MSI2,0.13979529,Predicted,4,Kim-Marcotte-2008
SLC1A6,SLC1A2,0.18223324,Predicted,4,Kim-Marcotte-2008
SLC4A7,SLC4A4,0.13457058,Predicted,4,Kim-Marcotte-2008
SYTL2,SYTL3,0.011469628,Predicted,4,Kim-Marcotte-2008
NFIA,NPAS3,0.000574429,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CSPG5,NFIA,0.000826492,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NRXN1,NPAS3,0.001129095,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NRXN1,NFIA,0.000441128,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NRXN1,PTPRT,0.001992943,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NRXN1,CSPG5,0.000985602,Predicted,4,Guan-Troyanskaya-2008 MouseNET
LSAMP,NPAS3,0.000898172,Predicted,4,Guan-Troyanskaya-2008 MouseNET
LSAMP,PTPRT,0.002517171,Predicted,4,Guan-Troyanskaya-2008 MouseNET
LSAMP,NRXN1,0.001291332,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NTM,NPAS3,0.000630473,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NTM,NRXN1,0.001051707,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NTM,LSAMP,0.002765662,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC1A2,NPAS3,0.001159777,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC1A2,NFIA,0.00076145,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC1A2,CSPG5,0.001742843,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC1A2,NRXN1,0.00081591,Predicted,4,Guan-Troyanskaya-2008 MouseNET
RORA,NFIA,0.001017206,Predicted,4,Guan-Troyanskaya-2008 MouseNET
RORA,CSPG5,0.001016409,Predicted,4,Guan-Troyanskaya-2008 MouseNET
RORA,NRXN1,0.00074055,Predicted,4,Guan-Troyanskaya-2008 MouseNET
RORA,SLC1A2,0.000885204,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SOX6,NPAS3,0.000426649,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SOX6,NFIA,0.000512818,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SOX6,NRXN1,0.000417833,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SOX6,SLC1A2,0.000432222,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SOX6,RORA,0.000435383,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PTPRZ1,NPAS3,0.001599117,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PTPRZ1,PTPRT,0.002579792,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PTPRZ1,NRXN1,0.00202385,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PTPRZ1,LSAMP,0.001143452,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PTPRZ1,NTM,0.001065701,Predicted,4,Guan-Troyanskaya-2008 MouseNET
ARHGAP5,GNAO1,0.007925031,Predicted,4,Guan-Troyanskaya-2008 MouseNET
APOE,NPAS3,0.000499785,Predicted,4,Guan-Troyanskaya-2008 MouseNET
APOE,NFIA,0.000311744,Predicted,4,Guan-Troyanskaya-2008 MouseNET
APOE,CSPG5,0.001120315,Predicted,4,Guan-Troyanskaya-2008 MouseNET
APOE,NRXN1,0.000192366,Predicted,4,Guan-Troyanskaya-2008 MouseNET
APOE,SLC1A2,0.000690186,Predicted,4,Guan-Troyanskaya-2008 MouseNET
APOE,RORA,0.000535892,Predicted,4,Guan-Troyanskaya-2008 MouseNET
APOE,SOX6,0.00035555,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6B,NPAS3,0.000481313,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6B,CSPG5,0.00082586,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6B,NRXN1,0.000921403,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6B,LSAMP,0.001696016,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6B,NTM,0.001762499,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6B,GNAO1,0.000912675,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6B,PTPRZ1,0.000538859,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6B,APOE,0.000167163,Predicted,4,Guan-Troyanskaya-2008 MouseNET
MACF1,NRXN1,0.009372717,Predicted,4,Guan-Troyanskaya-2008 MouseNET
VEGFA,NPAS3,0.000442768,Predicted,4,Guan-Troyanskaya-2008 MouseNET
VEGFA,NFIA,0.000360348,Predicted,4,Guan-Troyanskaya-2008 MouseNET
VEGFA,NRXN1,0.000178698,Predicted,4,Guan-Troyanskaya-2008 MouseNET
VEGFA,SLC1A2,0.000387291,Predicted,4,Guan-Troyanskaya-2008 MouseNET
VEGFA,RORA,0.000412913,Predicted,4,Guan-Troyanskaya-2008 MouseNET
VEGFA,SOX6,0.000582768,Predicted,4,Guan-Troyanskaya-2008 MouseNET
VEGFA,APOE,0.000386941,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,NPAS3,0.000978154,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,NFIA,0.000390202,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,CSPG5,0.001174664,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,NRXN1,0.001348385,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,LSAMP,0.001354824,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,NTM,0.001263225,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,SLC1A2,0.001135831,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,RORA,0.000667899,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,PTPRZ1,0.001284104,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,APOE,0.000352105,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,GPM6B,0.001003731,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKB,VEGFA,0.000197274,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6A,LSAMP,0.003216045,Predicted,4,Guan-Troyanskaya-2008 MouseNET
GPM6A,GPM6B,0.001316286,Predicted,4,Guan-Troyanskaya-2008 MouseNET
TMCC2,NTM,0.002728737,Predicted,4,Guan-Troyanskaya-2008 MouseNET
TMCC2,GPM6B,0.002201652,Predicted,4,Guan-Troyanskaya-2008 MouseNET
TMCC2,CKB,0.001692064,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,NPAS3,0.00084681,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,NFIA,0.000730505,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,PTPRT,0.000777585,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,CSPG5,0.001495223,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,NRXN1,0.001021939,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,LSAMP,0.00066135,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,NTM,0.000610797,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,SLC1A2,0.001159922,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,RORA,0.000604393,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,SOX6,0.000390265,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,PTPRZ1,0.000883963,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,APOE,0.000329587,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,GPM6B,0.000497853,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,VEGFA,0.000237838,Predicted,4,Guan-Troyanskaya-2008 MouseNET
PLP1,CKB,0.001093451,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,NPAS3,0.000676471,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,NFIA,0.000438817,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,SLC1A2,0.000717662,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,RORA,0.000502133,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,SOX6,0.000353158,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,APOE,0.00052118,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,VEGFA,0.000533712,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,CKB,0.000335835,Predicted,4,Guan-Troyanskaya-2008 MouseNET
SLC6A4,PLP1,0.000315972,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NRXN2,MACF1,0.19245373,Predicted,4,Guan-Troyanskaya-2008 MouseNET
MPP7,TRPS1,0.5048057,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKM,CKB,0.008859939,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKMT1,SLC1A2,0.001059193,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKMT1,GPM6B,0.000559257,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKMT1,CKB,0.001080129,Predicted,4,Guan-Troyanskaya-2008 MouseNET
CKMT1,PLP1,0.000678656,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,NPAS3,0.000795627,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,PTPRT,0.002311637,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,NRXN1,0.001672521,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,LSAMP,0.005129406,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,NTM,0.002806038,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,PTPRZ1,0.001332379,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,GPM6B,0.001618179,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,CKB,0.001201946,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NLGN1,PLP1,0.00045958,Predicted,4,Guan-Troyanskaya-2008 MouseNET
NRXN3,NPAS3,0.001291001,Predicted,4,Guan-Troyanskaya-2008 MouseNET
